# CoCo3 OS-9 AGI IMAGE MANIFEST -- harness/tools/game_manifest.py --os9
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# ONE ROW PER IMAGE, not per title: the media variants are different builds.
# agi_bytes counts AGI resources ONLY -- Sierra's interpreter (CMDS/Sierra, MnLn,
# Scrn, Shdw, TOCGen) and the OS-9 host (OS9Boot, MODULES/, shell utilities) are
# CODE our port replaces, and are reported separately.
# stride 512 = DrivePak container (one 256-byte OS-9 sector per 512-byte block).
#
image	sha256	image_bytes	stride	sectors	volume	dd_fmt	version	files	agi_files	agi_bytes	vols	interp_bytes	host_bytes
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	b00b0fa14101edb60ed9698f3f3f977c0f383cc0c474ab43d0a37ce3e14644fa	737280	256	2880	King's Quest 1	0x03	v2	28	9	256857	3	37162	41615
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	67abcda6c8defd76e5c492addbe1075da57fae0e4db18421517f7d80ed555ea3	1474560	512	2880	King's Quest 1	0x02	v2	26	9	256857	3	37162	38532
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	8dd5f863ffd687713f1c6601315f71acd37a0cac1c93064ce959d0e41654be72	356864	256	1394	King's Quest 1	0x02	v2	27	9	256857	3	37162	42206
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	c9d18b4f5efaac13a1927753d76593390e988cf316cb2957e4ae346b40cfc8a0	356352	256	1392	King's Quest 1	0x02	v2	27	9	256857	3	37162	41802
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	37ea36c45ce63d771aaa2ebceb57312029d86d003fda9c8d8ef4ebf253efad61	368640	256	1440	King's Quest 1 Disk %d	0x03	v2	19	9	256857	3	37162	31814
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq1-sg.dsk	9d73119d21110f53f95ee803dbd3b4be3e83c71ccd3193570859f1ae69bc7c73	184320	256	720		0x00	none	7	0	0	0	0	0
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq2.dsk	f69d2f0b0f46aab3031767ba8fc28341e1d91143f71564a74da1b028cd7502a7	737280	256	2880	King's Quest 2	0x03	v2	28	9	364044	3	37162	41629
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq2-drivepak.par	bfcce6dba0afb0a63fff468cc42ed63fec1baa70b43cdc7f33f1c2e9ee3c1576	1474560	512	2880	King's Quest 2	0x02	v2	26	9	364044	3	37162	38546
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq2-becker.dsk	c1343fcae259a1b1a11d6a5d0c7f6cb37c3ecfbdc4a23634c02f8b92670e745a	464128	256	1813	King's Quest 2	0x02	v2	27	9	364044	3	37162	42220
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq2-dw.dsk	5384201588da5363a7caee056c0c9f2932272293f287341e6c7dbe64a8289c9b	463616	256	1811	King's Quest 2	0x02	v2	27	9	364044	3	37162	41816
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq2-1.dsk	8e5684f2bd90d4bbc6f21312d96023c9350bfb7658b2c5983933e672f7e05545	368640	256	1440	King's Quest 2 Disk 1	0x03	v2	18	8	174077	2	37162	31828
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq2-2.dsk	d6c692fa043625200764a2b5cd991bd8e3d0284e25065ead33151dfb91a4ce99	368640	256	1440	King's Quest 2 Disk 2	0x03	none	3	3	213320	2	0	0
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Floppy 720K/kq2.dsk	d783c6e98912fd20d51db57c706a517e16f7af905fc7c04849b654e92cf0dd11	737280	256	2880	King's Quest 2	0x03	v2	19	9	364044	3	37162	31828
King's Quest II (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq2-sg.dsk	b72fcdf7b154726e3d89f717fe8dbbea5df1e92a1361db9d0b9629dc1c4c7edb	184320	256	720		0x00	none	10	0	0	0	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	11633be2a7eb972ffd8b081b41355d214451dca497d9f235462f613a64f0d620	737280	256	2880	King's Quest 3	0x03	v2	37	18	563325	12	37162	41813
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	2e204e4028fa5cce3d9bf9104a6e9dd46a86de73f2d066449843d58d165ee2c5	1474560	512	2880	King's Quest 3	0x02	v2	35	18	563325	12	37162	38730
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	f195ecdccf0897301a65289b0733cc4b48d081536e8ac39165f7129db8bd8ad1	667392	256	2607	King's Quest 3	0x02	v2	36	18	563325	12	37162	42404
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	e47e7db1661d6d27e97ada20bdb7f54c8bb4e28d25fba033010d20573274f137	666880	256	2605	King's Quest 3	0x02	v2	36	18	563325	12	37162	42000
