# THREE-AXIS CORPUS CLASSIFICATION (AD-28) -- harness/tools/classify_corpus.py
# * MANIFEST ONLY. No game data here and none ever (§2P).
# dir_format / vol_format / interp_version are INDEPENDENT AXES. Each has a *_method
# saying HOW it was established. An EMPTY value was NOT ESTABLISHED -- never guessed.
# interp_version is populated ONLY from an oracle md5+size match (L-26): a version from
# the oracle's table and one inferred from file shape are different claims.
# Detection hash = md5 of the FIRST 5000 BYTES of the detection file, size enforced where
# the table gives one (advancedDetector.cpp:974 and :818, read not assumed -- L-25).
#
population	row	dir_format	dir_method	vol_format	vol_method	interp_version	interp_method	detect_file	detect_md5	detect_bytes	scummvm_id	scummvm_extra	scummvm_platform	match_note	scummvm_comment
PC/DOS	Kingquest1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version on the entry line	LOGDIR	10ad66e2ecbd66951534a50aedcd0128	315	kq1	2.0F 1987-05-05 5.25\	DOS	ok	King's Quest 1 (PC 5.25"/3.5") 2.0F [AGI 2.917]
PC/DOS	Kingquest1vga	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
PC/DOS	Kingquest2	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version on the entry line	LOGDIR	b944c4ff18fb8867362dc21cc688a283	543	kq2	2.2 1987-05-07 5.25\	DOS	ok	King's Quest 2 (PC 5.25"/3.5") 2.2 [AGI 2.426]
PC/DOS	Kingquest3	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2440	oracle md5+size match; version on the entry line	LOGDIR	18aad8f7acaaff760720c5c6885b6bab	390	kq3	2.00 1987-05-25 5.25\	DOS	ok	King's Quest 3 (PC 5.25") 2.00 5/25/87 [AGI 2.435]
PC/DOS	Kingquest4	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
PC/DOS	Kingquest5	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
CoCo3	King's Quest I/Coco SDC	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	c398b33c13f6d9d9c339b89f62f5240b	315				no md5 match	
CoCo3	King's Quest I/DrivePak	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	c398b33c13f6d9d9c339b89f62f5240b	315				no md5 match	
CoCo3	King's Quest I/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	c398b33c13f6d9d9c339b89f62f5240b	315				no md5 match	
CoCo3	King's Quest I/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	c398b33c13f6d9d9c339b89f62f5240b	315				no md5 match	
CoCo3	King's Quest I/Savegames	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
CoCo3	King's Quest II/Coco SDC	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	bdb10876cd4cb20eabd88778c40b4075	543	kq2		CoCo3	ok	King's Quest 2 (CoCo3 720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest II/DrivePak	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	bdb10876cd4cb20eabd88778c40b4075	543	kq2		CoCo3	ok	King's Quest 2 (CoCo3 720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest II/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	bdb10876cd4cb20eabd88778c40b4075	543	kq2		CoCo3	ok	King's Quest 2 (CoCo3 720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest II/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	bdb10876cd4cb20eabd88778c40b4075	543	kq2		CoCo3	ok	King's Quest 2 (CoCo3 720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest II/Floppy 720K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	bdb10876cd4cb20eabd88778c40b4075	543	kq2		CoCo3	ok	King's Quest 2 (CoCo3 720k) | Unofficial port by Guillaume Major
