# PC/DOS AGI MANIFEST -- generated by harness/tools/pc_manifest.py.
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# shape: 'AGI v2' directories are parsed; 'AGI v3' are recorded and NOT parsed (LZW, §11.1);
#        'SCI' are recorded and NOT parsed (design §1.1).
# res_* are resources PRESENT (not slots). slots_* are DIR length / 3, an upper bound.
# sha256 columns are of the named FILE, so a release can be identified exactly.
#
dir	shape	files	bytes	logdir_sha256	object_sha256	words_sha256	res_logic	res_picture	res_view	res_sound	slots_logic	slots_picture	slots_view	slots_sound	vol_count	vol_bytes	res_bytes
BlackCauldron	AGI v2	19	445874	a01abf8ff205cfd4fd7db2b3a81d72c21665f013598293c0bf5a9640498df7d4	44963ca0358f6aeb922456346275494b5f931c3c8e627f2764640b7d441acbd9	0bfd4cf711c67edf6ca132b6f9053517564dd6497e0032e34076ec7a7f59a8b2	85	69	178	28	119	72	183	29	3	386454	384638
GoldRush	AGI v3	41	1306045	efc949ad55b7acb34e551611dfeaf2ae3abb9cdd16014efa6cd4cbef67c39f22											10	1185381	
Kingquest1	AGI v2	28	453617	18d53ac02a5457494f03352c36a4a4c2eb8251df70fff8dae6dc3d5b41d55b38	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	90	82	118	26	105	85	144	48	3	339993	332217
Kingquest1vga	SCI	40	2825184														
Kingquest2	AGI v2	22	566314	3fc1e45ab361966bbee09b79baf703d8b83521d40b282071dadafd4afa906e00	14c85b6720fafd5e045416f65246e695bf4966c0ca52bf5f5e678b5c14a56e2a	d404578e135a58dafd390b722e9f7bef57e30a693cf08608c824fc6315c73d93	133	108	207	32	181	118	235	45	3	486230	479894
Kingquest3	AGI v2	37	760726	c926a1e6157132bd46bb77afdd98969542414a5cca187e99f4a320a6909069ed	d250a92d694b7071a0d64c474405ddd6357d853ef109bc50baf88079da341b93	08256ef851c1560cd1bd9eac7a5c678b22385630e9e66b3c21c5f77f25642b2d	125	97	216	34	130	177	252	40	4	651490	649123
Kingquest4	SCI	44	2574427														
Kingquest5	SCI	45	9061669														
larry1	AGI v2	39	565367	2e324c91a16e2f2a417f6c50302ae4cd3178daee0881507d5c49bedd6efd4b65	772c057edfd5ef994465580e3bb944f790e20661921d894f54b68920fa26647d	c915d38790325343154322fa1ad9e529bb548a45f3c09c12e9e8942a1bca0853	46	43	151	28	59	46	191	34	3	451110	449760
ManhunterNewYork	AGI v3	31	1254648	a54810f29afeca512de4a96419184421c9f2f0e5e210e915e96790452e386abe											10	1048183	
ManhunterSanFrancisco	AGI v3	25	1270462	f646929faac4b905c4ed9fe3d8661cb33c97e4ae3168c38fa097cf3e1dbd8948											7	1207675	
MixedUpMotherGoose	AGI v2	27	473672	b61c76cd879018b6a1472af93c22ccda15623d483d1b332c5d72a94bdd573eef	addd77de06fa96476cda9452e7e828e1b398aa73fbae5bc2a6dd133ffdf645b8	a718ca71030b946726a197e891998ab44ad3fe363e346810fa2d720151aa1d3e	73	49	100	53	202	201	201	66	3	400195	398809
PoliceQuest1	AGI v2	22	768114	8bb6719298cfea31eb57e3631c8e34b0938c3aa7781cb06e2181de7df36d5f97	ed0e6e31fe8f714dcc10243f0b5cdff5f707375ee4b1d55f4b311da3b9803d47	a95eed1c9b2fcafb5ba63f2424adf05a3a1f7c349089fc22b09277ae020a13c2	118	71	220	36	120	117	256	42	4	700882	698636
SpaceQuest-1	AGI v2	36	633652	1aeef7bd675ac6c3907181b619df3c53f14f42bc64ea2965e6b3ab7f81f8a1fd	058d2fcfef8df6667e764b889a1c22d6b8746eac8c25321f707a64e4d712464c	7538e02617e9d8afd8c8de8cb1c2290ca24291d5b1af1e329486c2f84571803e	101	73	238	51	124	105	254	66	3	527606	524198
SpaceQuest-2	AGI v2	38	747417	653b828dab31484ef78c5674e1963f13a96e6c1be59e61093df7d5ed3385ed51	3b887ff34eb1ec5b9f398e98ad6443b03cb3f7d32eeac01abc096c08a048a766	243a927918759dd3f17654f1bdfb87ea333c81da9c6df63a3a2b39136e433cf5	118	74	203	49	141	147	240	70	4	642468	636672
